Problem Number,ValuePersonal,ValueORTools,TimePersonal(ms),TimeORTools(ms) 
283,103044,103044,209.625200,3863.996600
284,114940,114940,288.779900,5876.273200
285,128608,128608,400.285600,8282.921100
286,24446,24446,82.510500,481.100600
287,48459,48459,125.014500,1353.204800
288,70918,70918,202.277900,2747.849500
289,88937,88937,315.673100,4778.538800
290,109432,109432,378.169400,6897.823500
291,23333,23333,108.716300,908.887200
292,45417,45417,171.874700,2067.453800
293,68573,68573,219.962600,4404.665500
294,87322,87322,228.149200,6771.147500
295,113028,113028,390.547700,9679.297700
296,21313,21313,56.074100,81.261600
297,42557,42557,135.672300,462.033900
298,65073,65073,215.580800,1366.837900
299,83242,83242,296.746700,3192.073600
300,108488,108488,405.021500,5988.070000
301,122093,122093,125.475600,1442.297600
302,161592,161592,360.843300,4049.728700
303,204633,204633,434.174500,7515.528000
304,230711,230711,578.823100,10879.843800
305,252403,252403,586.538700,16113.997000
306,48883,48883,95.285500,961.369100
307,96131,96131,223.412700,3029.137500
308,136708,136708,390.846300,5393.028000
309,182466,182466,570.225500,10656.905700
310,217026,217026,732.643400,12924.557000
311,45303,45303,128.901200,1434.149600
312,86633,86633,196.116800,3936.195400
313,132833,132833,411.480800,6999.917000
314,174635,174635,597.217900,11223.503200
315,222195,222195,756.877300,17221.465000
316,43313,43313,161.861300,111.200500
317,83723,83723,278.543600,970.262800
318,129323,129323,487.144500,2798.611700
319,170575,170575,569.958400,6535.793300
320,217655,217655,782.970300,10217.742400
